"PID","COD_COMP","DESC_COMP","PIDC_CAUSA_COMP","PID_GCR_COMP"
"00002V00000002Bc","51",CONEXÃO RAMAL x REDE,"0000BF000000026N","0000CV000000003M"
"00002V000000003v","19",CHAVE A OLEO,"0000BF000000003v","0000CV000000003J"
"00002V000000003w","20",CHAVE BY-PASS,"0000BF000000003w","0000CV000000003J"
"00002V000000003x","23",CHAVE SECCIONADORA,"0000BF000000003x","0000CV000000003J"
"00002V000000003y","25",ELO FUSIVEL OLHAL,"0000BF000000003y","0000CV000000003J"
"00002V000000003z","26",CHAVE FUSIVEL REPETIDORA,"0000BF000000003z","0000CV000000003J"
"00002V0000000040","22",CHAVE FUSIVEL,"0000BF0000000040","0000CV000000003J"
"00002V0000000041","28",CONECTOR A COMPRESSAO,"0000BF0000000041","0000CV000000003K"
"00002V0000000042","29",CONEXAO CHARRUADA,"0000BF0000000042","0000CV000000003K"
"00002V0000000043","30",CONECTOR PARALELO (TAPIT),"0000BF0000000043","0000CV000000003K"
"00002V0000000044","31",CONECTOR SPLIT-BOLT (PARAFUSO),"0000BF0000000044","0000CV000000003K"
"00002V0000000045","32",GRAMPO DE LINHA VIVA,"0000BF0000000045","0000CV000000003K"
"00002V0000000046","33",CRUZAMENTO AEREO,"0000BF0000000046","0000CV000000003K"
"00002V0000000047","35",CONDUTOR DE AT,"0000BF0000000047","0000CV000000003L"
"00002V0000000048","40",CONDUTOR DE BT,"0000BF0000000048","0000CV000000003L"
"00002V0000000049","36",COND AT ROMPIDO LADO CARGA,"0000BF0000000049","0000CV000000003L"
"00002V000000004@","38",CONDUTOR AT ROMPIDO LADO FONTE,"0000BF000000004@","0000CV000000003L"
"00002V000000004A","41",JUMPER,"0000BF000000004A","0000CV000000003L"
"00002V000000004B","42",CONDUTOR DE BT ROMPIDO,"0000BF000000004B","0000CV000000003L"
"00002V000000004C","44",CONDUTOR ELETRODUTO (FIO CANO),"0000BF000000004C","0000CV000000003M"
"00002V000000004D","45",DISJUNTOR DE AT,"0000BF000000004D","0000CV000000003M"
"00002V000000004E","46",DISJUNTOR DE BT,"0000BF000000004E","0000CV000000003M"
"00002V000000004F","47",CONEXAO DE PINGADOURO,"0000BF000000004F","0000CV000000003M"
"00002V000000004G","48",MEDIDOR,"0000BF000000004G","0000CV000000003M"
"00002V000000004H","49",QUADRO/CAIXA,"0000BF000000004H","0000CV000000003M"
"00002V000000004I","50",RAMAL AEREO,"0000BF000000004I","0000CV000000003M"
"00002V000000004J","52",UNIDADE CONSUMIDORA,"0000BF000000004J","0000CV000000003M"
"00002V000000004K","53",POSTE DE ENTRADA DE SERVICO,"0000BF000000004K","0000CV000000003M"
"00002V000000004L","54",FUSIVEL DIASED/NH,"0000BF000000004L","0000CV000000003M"
"00002V000000004M","60",BANCO DE CAPACITORES,"0000BF000000004M","0000CV000000003N"
"00002V000000004N","61",REGULADOR DE TENSAO,"0000BF000000004N","0000CV000000003N"
"00002V000000004O","62",RELIGADOR AUTOMATICO,"0000BF000000004O","0000CV000000003N"
"00002V000000004P","63",TRANSFORMADOR DE CORRENTE (TC),"0000BF000000004P","0000CV000000003N"
"00002V000000004Q","64",TRANSFORMADOR DE POTENCIAL TP,"0000BF000000004Q","0000CV000000003N"
"00002V000000004R","65",REVERSORA AUTOMATICA,"0000BF000000004R","0000CV000000003N"
"00002V000000004S",I1,BRACO DE LUMINARIA,"0000BF000000004S","0000CV000000003O"
"00002V000000004T",I2,LAMPADA,"0000BF000000004T","0000CV000000003O"
"00002V000000004U",I6,LUMINARIA,"0000BF000000004U","0000CV000000003O"
"00002V000000004V",I7,REATOR / IGNITOR DE IP,"0000BF000000004V","0000CV000000003O"
"00002V000000004W",I8,RELE FOTOELETRICO,"0000BF000000004W","0000CV000000003O"
"00002V000000004X",I9,CONEXAO,"0000BF000000004X","0000CV000000003O"
"00002V000000004Y",P1,CONDUTOR,"0000BF000000004Y","0000CV000000003O"
"00002V000000004Z",P3,ILUMINACAO PUBLICA,"0000BF000000004Z","0000CV000000003O"
"00002V000000004[",P4,BASE PARA RELE,"0000BF000000004[","0000CV000000003O"
"00002V000000004a","01",ALCA PREFORMADA,"0000BF000000004a","0000CV000000003P"
"00002V000000004b","02",AMARRACAO,"0000BF000000004b","0000CV000000003P"
"00002V000000004c","04",ATERRAMENTO,"0000BF000000004c","0000CV000000003P"
"00002V000000004d","06",DESCARREGADOR DE CHIFRES,"0000BF000000004d","0000CV000000003P"
"00002V000000004e","07",EMENDA PREFORMADA,"0000BF000000004e","0000CV000000003P"
"00002V000000004f","08",ESPACADOR DE BT,"0000BF000000004f","0000CV000000003P"
"00002V000000004g","09",ESTAI,"0000BF000000004g","0000CV000000003P"
"00002V000000004h","11",LUVA DE EMENDA,"0000BF000000004h","0000CV000000003P"
"00002V000000004i","12",MUFLA,"0000BF000000004i","0000CV000000003P"
"00002V000000004j","14",PARA-RAIO,"0000BF000000004j","0000CV000000003P"
"00002V000000004k","16",ELO FUSIVEL,"0000BF000000004k","0000CV000000003P"
"00002V000000004l","17",ADAPTADOR DE ESTRIBO,"0000BF000000004l","0000CV000000003P"
"00002V000000004m","18",ARMACAO SECUNDARIA,"0000BF000000004m","0000CV000000003P"
"00002V000000004n","56",CRUZETA,"0000BF000000004n","0000CV000000003Q"
"00002V000000004o","67",ISOLADOR,"0000BF000000004o","0000CV000000003Q"
"00002V000000004p","74",POSTE,"0000BF000000004p","0000CV000000003Q"
"00002V000000004q","79",BARRAMENTO (CABO ISOL. SAIDA),"0000BF000000004q","0000CV000000003R"
"00002V000000004r","82",TERMINAIS DE AT,"0000BF000000004r","0000CV000000003R"
"00002V000000004s","83",TERMINAIS DE BT,"0000BF000000004s","0000CV000000003R"
"00002V000000004t","84",TRANSFORMADOR DE DISTRIBUICAO,"0000BF000000004t","0000CV000000003R"
"00002V000000004u","85",TRANSFORMADOR QUEIMADO,"0000BF000000004u","0000CV000000003R"
"00002V000000004v","88",CABO TELEFONICO/TV A CABO/OUTR,"0000BF000000004v","0000CV000000003S"
"00002V000000004w","89",REDE DE DISTRIBUICAO,"0000BF000000004w","0000CV000000003S"
"00002V000000004x","90",SERVICOS ESPECIAIS,"0000BF000000004x","0000CV000000003S"
"00002V000000004y","92",ATUACAO DO RA,"0000BF000000004y","0000CV000000003S"
"00002V000000004z","93",ATUACAO DO ELO FUSIVEL,"0000BF000000004z","0000CV000000003S"
"00002V0000000050",E1,BANCO CAPACITORES/CHAVE A OLEO,"0000BF0000000050","0000CV000000003T"
"00002V0000000051",E2,BARRAMENTO,"0000BF0000000051","0000CV000000003T"
"00002V0000000052",E3,CHAVE SECCIONADORA/ATERRAMENTO,"0000BF0000000052","0000CV000000003T"
"00002V0000000053",E4,DISJUNTOR,"0000BF0000000053","0000CV000000003T"
"00002V0000000054",E5,ISOLADOR DE BARRAMENTO,"0000BF0000000054","0000CV000000003T"
"00002V0000000055",E7,MUFLA OU CABO ISOLADO,"0000BF0000000055","0000CV000000003T"
"00002V0000000056",E8,PARA-RAIO,"0000BF0000000056","0000CV000000003T"
"00002V0000000057",E9,REGULADOR DE TENSAO,"0000BF0000000057","0000CV000000003T"
"00002V0000000058",H1,RELIGADOR AUTOMATICO,"0000BF0000000058","0000CV000000003T"
"00002V0000000059",H2,SERVICO AUXILIAR CA/CC,"0000BF0000000059","0000CV000000003T"
"00002V000000005@",H3,REATOR,"0000BF000000005@","0000CV000000003T"
"00002V000000005A",H4,REATOR TRIFASICO ATERRAMENTO,"0000BF000000005A","0000CV000000003T"
"00002V000000005B",H5,TRANSFORMADOR DE FORCA,"0000BF000000005B","0000CV000000003T"
"00002V000000005C",H6,TRANSFORMADOR DE CORRENTE TC,"0000BF000000005C","0000CV000000003T"
"00002V000000005D",H7,TRANSFORMADOR DE POTENCIAL TP,"0000BF000000005D","0000CV000000003T"
"00002V000000005E",H8,TRANSFORMADOR SERVICO AUXILIAR,"0000BF000000005E","0000CV000000003T"
"00002V000000005F",T1,PROTECAO (RELES/FIACAO),"0000BF000000005F","0000CV000000003T"
"00002V000000005G",T4,SISTEMA COMUNICACAO/AUTOMACAO,"0000BF000000005G","0000CV000000003T"
"00002V000000005H",T5,ATUACAO DE ELO FUSIVEL,"0000BF000000005H","0000CV000000003T"
"00002V000000005J",T7,ATUACAO RA/DISJUNTOR,"0000BF000000005J","0000CV000000003T"
"00002V000000005K",T8,DESCARREGADOR/CENTELHADOR,"0000BF000000005K","0000CV000000003T"
"00002V000000005L",T9,ATUACAO CIRCUITO GERAL,"0000BF000000005L","0000CV000000003T"
"00002V000000005M",L1,EQUIPAMENTO DE MEDICAO,"0000BF000000005M","0000CV000000003T"
"00002V000000005P",E6,ISOLADOR DE LINHA,"0000BF000000005P","0000CV000000003U"
"00002V000000005Q",H9,LINHAS DE TRANSMISSAO,"0000BF000000005Q","0000CV000000003U"
"00002V000000005T",L2,CABO CONDUTOR,"0000BF000000005T","0000CV000000003U"
"00002V000000005U",L3,CABO DE COBERTURA,"0000BF000000005U","0000CV000000003U"
"00002V000000005V",L4,CONEXOES,"0000BF000000005V","0000CV000000003U"
"00002V000000005W",L5,ESTRUTURA,"0000BF000000005W","0000CV000000003U"
"00002V000000005X",L6,FAIXA DE SERV,"0000BF000000005X","0000CV000000003U"
"00002V000000005Y",L7,ACESSORIOS DE LINHA,"0000BF000000005Y","0000CV000000003U"
"00002V0000000201",A1,ATUACAO CIRCUITO GERAL,"0000BF0000000200","0000CV000000003U"
"00002V0000000202",A3,ATUACAO DISJUNTOR,"0000BF0000000201","0000CV000000003U"
"00002V0000000203",A4,BARRAMENTO,"0000BF0000000202","0000CV000000003U"
"00002V0000000204",A5,CHAVE SECCIONADORA/ATERRAMENTO,"0000BF0000000203","0000CV000000003U"
"00002V0000000205",A7,DESCARREGADOR/CENTELHADOR,"0000BF0000000204","0000CV000000003U"
"00002V0000000206",A8,DISJUNTOR,"0000BF0000000205","0000CV000000003U"
"00002V0000000207",A9,EQUIPAMENTOS DE MEDICAO,"0000BF0000000206","0000CV000000003U"
"00002V0000000208",B1,ISOLADOR DE BARRAMENTO,"0000BF0000000207","0000CV000000003U"
"00002V0000000209",B2,MUFLA OU CABO ISOLADO DE SEs,"0000BF0000000208","0000CV000000003U"
"00002V000000020@",B3,PARA-RAIOS,"0000BF0000000209","0000CV000000003U"
"00002V000000020A",B4,REGULADOR DE TENSAO TRIFASICO,"0000BF000000020@","0000CV000000003U"
"00002V000000020B",B6,REATOR (REATOR DE DERIVACOES),"0000BF000000020A","0000CV000000003U"
"00002V000000020C",B8,SISTEMA DE PROTECAO,"0000BF000000020B","0000CV000000003U"
"00002V000000020D",B9,SISTEMA COMUNICACAO/AUTOMACAO,"0000BF000000020C","0000CV000000003U"
"00002V000000020E",C1,TRANSFORMADOR DE FORCA,"0000BF000000020D","0000CV000000003U"
"00002V000000020F",C2,TRANSF CORRENTE/INST MED,"0000BF000000020E","0000CV000000003U"
"00002V000000020G",C3,TRANSF POTENCIAL/INST MED,"0000BF000000020F","0000CV000000003U"
"00002V000000020H",G1,BANCO CAPACITORES/CHAVE A OLEO,"0000BF000000020G","0000CV000000003U"
"00002V000000020I",D1,SIST  INTERLIGADO SE EXTERNA,"0000BF000000020H","0000CV0000000201"
"00002V000000020J",D2,SIST INTERLIGADO GERACAO EXTER,"0000BF000000020I","0000CV0000000201"
"00002V000000020K",D3,SIST INTERLIGADO TRANSM EXTERN,"0000BF000000020J","0000CV0000000201"
"00002V000000020L",F2,SISTEMA DE GERACAO,"0000BF000000020K","0000CV0000000202"
"00002V0000000239","27",CONECTOR CUNHA,"0000BF000000021Z","0000CV000000003K"
"00002V00000002@x",G2,COMPONENTE GENERICO,"0000BF000000024h",
"00002V00000002BZ","24",REMOTA PROTEÇÃO DE BT,"0000BF000000026J","0000CV000000003J"
"00002V00000002B[","21",CHAVE A GAS,"0000BF000000026K","0000CV000000003J"
"00002V00000002Ba","03",REMOTA TELECOMANDO,"0000BF000000026L","0000CV000000003J"
"00002V00000002Bb","66",CENTRO DE MEDICAO,"0000BF000000026M","0000CV000000003N"
"00002V00000002Bd","34",CONECTOR PERFURANTE,"0000BF000000026O","0000CV000000003K"
